"#","Empresa","Setor","A Abordagem Certa (O Gatilho Comercial)","Contato","WhatsApp/E-mail","Abordado em","Status"
"1","A.Yoshii Engenharia","Construção e Incorporação","Grandes marcas locais adoram apoiar heróis da cidade chancelados com o Brasão de Maringá; o apelo aqui é o orgulho cívico e institucional.","","","","Não abordado"
"2","Plaenge Maringá","Construção e Incorporação","Foco em responsabilidade social e valorização da comunidade onde constroem seus grandes empreendimentos.","","","","Não abordado"
"3","Sancor Seguros","Seguros e Serviços","Multinacional com sede em Maringá que investe pesado em projetos locais para fixar a marca como apoiadora da região.","","","","Não abordado"
"4","Unimed Maringá","Saúde e Cooperativismo","O Seu Moura é a personificação viva da longevidade, saúde e superação; fit perfeito para o marketing preventivo da cooperativa.","","","","Não abordado"
"5","Sicredi União PR/SP","Cooperativa de Crédito","O modelo de 'Empresas Fundadoras' casa perfeitamente com os valores de cooperação e fomento regional do Sicredi.","","","","Não abordado"
"6","Sicoob Metropolitano","Cooperativa de Crédito","Concorrente direto que também busca forte apelo social e conexão com figuras públicas respeitadas no município.","","","","Não abordado"
"7","Eurogarden Maringá","Desenvolvimento Imobiliário","O bairro planejado mais sustentável foca em bem-estar e qualidade de vida; o Mestre Moura reflete essa mesma filosofia.","","","","Não abordado"
"8","Grupo Cidade Verde (GCV)","Comunicação e Mídia","Conversar para uma possível permuta ou cota de apoio institucional em troca de divulgação em massa da história.","","","","Não abordado"
"9","Shopping Catuaí Maringá","Varejo e Lazer","Apoiar eventos e atletas locais traz fluxo orgânico e simpatia da comunidade maringaense para a marca.","","","","Não abordado"
"10","Maringá Park Shopping","Varejo e Lazer","Shopping central que conversa com o público de alto padrão, ideal para associar a marcas tradicionais da cidade.","","","","Não abordado"
"11","Purific","Filtros e Purificadores","Empresa nascida em Maringá focada em saúde e pureza; apoiar um atleta master reforça a mensagem de vida saudável.","","","","Não abordado"
"12","Revest Acabamentos","Construção e Acabamentos","Empresa local consolidada, onde o dono geralmente decide rápido pelo WhatsApp ao ver o impacto do Media Kit.","","","","Não abordado"
"13","Lowçucar / Lightsweet","Alimentos e Saudabilidade","Líder em produtos saudáveis e sem açúcar de Maringá; o Seu Moura é o garoto-propaganda ideal para eles.","","","","Não abordado"
"14","Vanzin Escapamentos","Automotivo e Indústria","Indústria tradicional de Maringá com histórico de apoio a ações que valorizam a força e a garra local.","","","","Não abordado"
"15","DB1 Global Software","Tecnologia e Software","Gigante de tech local que valoriza inovação e mentalidade de crescimento; conecta com o público jovem deles.","","","","Não abordado"
"16","Grupo Maringá de Comunicação","Mídia e Rádio","Dono das principais rádios locais; excelente para validar a história e ganhar apoio na divulgação da meta pública.","","","","Não abordado"
"17","Dental Clean","Higiene e Saúde Odontológica","Indústria local forte com presença nacional, com caixa disponível para apoiar projetos de impacto social rápido.","","","","Não abordado"
"18","Pneumar","Automotivo e Varejo","Rede tradicionalíssima que cresceu com Maringá; apelo forte na tradição e no legado de quem construiu a cidade.","","","","Não abordado"
"19","Cardio Center Maringá","Clínica Médica e Saúde","Clínica especializada que atende o público que busca longevidade; o Seu Moura é o exemplo do coração perfeito aos 50+.","","","","Não abordado"
"20","Farmácia São Paulo","Rede de Farmácias","Rede de drogarias local com capilaridade imensa; o selo de Empresa Fundadora traz enorme simpatia dos clientes nos bairros.","","","","Não abordado"
"21","Clinica de Fraturas Maringá","Saúde e Ortopedia","Ortopedia e esporte andam juntos; patrocinar o Mestre Moura demonstra apoio à saúde das articulações e alta performance.","","","","Não abordado"
"22","Unicesumar","Educação Superior","O grupo educacional investe massivamente no esporte local e no desenvolvimento de talentos e projetos sociais de Maringá.","","","","Não abordado"
"23","Grupo Recco","Confecção e Moda","Marca tradicional da cidade que preza pela história familiar e pelo respeito ao legado maringaense.","","","","Não abordado"
"24","Humana Saúde Sul","Planos de Saúde","Busca agressivamente mercado na região e precisa de associação rápida com figuras que transmitem saúde e vitalidade.","","","","Não abordado"
"25","Colégio Objetivo Maringá","Educação Básica","O Mestre dá aulas infantis (Kids); o fit com escolas particulares para falar de disciplina e esporte é imediato.","","","","Não abordado"
"26","Gaston Gastronomia","Alimentação e Eventos","Restaurante/Buffet de empresários locais que entendem o valor de uma boa história e do marketing de comunidade.","","","","Não abordado"
"27","Valisere Maringá","Varejo e Franquia","Franquia local gerida por empreendedores locais que decidem rápido e apoiam causas nobres da cidade.","","","","Não abordado"
"28","Búfalo Ferramentas","Indústria e Comércio","Marca que vende força, resistência e durabilidade; atributos que definem perfeitamente um Faixa Preta 4º Grau.","","","","Não abordado"
"29","Noma Alimentos","Indústria Alimentícia","Tradicional na região, com diretores acessíveis que valorizam o desenvolvimento esportivo de Maringá.","","","","Não abordado"
"30","Sua Rede de Contatos Locais","Contatos Pessoais","Deixe esta linha para aquele empresário amigo seu de Maringá; ele vai entrar pelo respeito à sua própria jornada.","","","","Não abordado"
